1.911240e+00 9.743695e-02
8.780768e-01 6.142739e-02
3.285978e+02 2.588079e+01
4.190562e+00 6.631194e-01
8.478689e-01 1.282588e-01
3.385467e+00 1.358658e-01
4.619328e+02 2.011229e+01
1.148930e+01 1.428066e+00
-1.133283e+00 1.064985e-01
-3.800626e-01 1.391424e-01
-1.168015e-01 9.636698e-02
5.169506e-01 1.201648e-01
1.025389e+00 7.593136e-02
-1.007052e+00 1.415450e-01
7.875243e-01 1.071693e-01
-2.486370e-01 6.689398e-02
2.942654e-01 8.484338e-02
3.407958e-02 6.464892e-02
2.813670e-01 2.208342e-01
-5.373953e-02 1.381364e-01
3.928459e+00 1.931291e-01
2.727816e+00 5.126544e-01
