Inversion (out.S9fsX..dat) of data (dataS9.dat): correlations, means, std
			r4		n4		E4		V4		p2		r2		E2		V2		X1		X2		X3		X4		X5		X6		X7		X8		X9		X10		X11		X12		log10A4		log10A2		mean +/- std
 r4		120.834		-445.109		-55.874		-117.519		-90.424		201.413		72.544		55.760		 0.207		-0.426		 0.337		 0.101		-0.162		 0.580		-0.186		-0.410		 0.186		-0.121		 0.052		-0.357		 0.021		-1.154 		 1.911 +/-  0.097
 n4		-445.109		1671.060		210.571		450.864		338.233		-753.079		-270.578		-208.576		 0.777		 0.164		-0.229		-0.312		-0.258		 0.683		-0.060		 0.466		-0.241		 0.036		-0.371		-0.346		-0.513		-1.270 		 0.878 +/-  0.061
 E4		-55.874		210.571		27.145		57.199		42.654		-95.118		-33.731		-26.346		-0.139		-0.420		 0.320		 0.297		 0.422		-0.193		-0.249		-0.158		 0.449		 0.117		 0.232		-0.418		 0.052		-0.328 		328.598 +/- 25.881
 V4		-117.519		450.864		57.199		125.781		91.252		-203.136		-72.993		-56.317		 0.209		-0.310		 0.039		-0.049		-0.409		 0.801		 0.033		-0.277		 0.125		-0.009		-0.129		-0.188		 0.041		-1.905 		 4.191 +/-  0.663
 p2		-90.424		338.233		42.654		91.252		69.314		-152.940		-55.152		-42.476		 0.282		 0.158		 0.101		-0.240		 0.064		 0.240		 0.088		 0.116		 0.008		 0.197		-0.396		-0.106		 0.216		 0.001 		 0.848 +/-  0.128
 r2		201.413		-753.079		-95.118		-203.136		-152.940		340.788		122.220		94.465		 0.194		 0.024		 0.069		-0.115		-0.079		 0.233		-0.068		 0.008		-0.069		-0.002		-0.109		-0.050		-0.397		-0.060 		 3.385 +/-  0.136
 E2		72.544		-270.578		-33.731		-72.993		-55.152		122.220		45.605		33.826		-0.273		-1.060		 0.678		 0.991		 0.445		-0.375		-0.862		-0.445		 0.785		-0.203		 0.973		-0.976		 0.098		-0.183 		461.933 +/- 20.112
 V2		55.760		-208.576		-26.346		-56.317		-42.476		94.465		33.826		26.337		-0.021		-0.034		-0.033		 0.036		-0.092		 0.041		-0.019		-0.055		-0.068		-0.122		 0.120		-0.002		-0.363		 0.002 		11.489 +/-  1.428
 X1		 0.207		 0.777		-0.139		 0.209		 0.282		 0.194		-0.273		-0.021		 0.999		 0.117		 0.185		-0.444		-0.185		 0.666		-0.139		 0.032		-0.236		 0.025		-0.531		-0.137		-0.218		-0.317 		-1.133 +/-  0.106
 X2		-0.426		 0.164		-0.420		-0.310		 0.158		 0.024		-1.060		-0.034		 0.117		 0.999		-0.610		-0.686		-0.353		 0.121		 0.628		 0.402		-0.609		 0.126		-0.674		 0.705		 0.084		 0.284 		-0.380 +/-  0.139
 X3		 0.337		-0.229		 0.320		 0.039		 0.101		 0.069		 0.678		-0.033		 0.185		-0.610		 0.999		 0.260		 0.295		 0.142		-0.618		-0.372		 0.396		-0.004		 0.193		-0.651		-0.118		-0.234 		-0.117 +/-  0.096
 X4		 0.101		-0.312		 0.297		-0.049		-0.240		-0.115		 0.991		 0.036		-0.444		-0.686		 0.260		 0.999		 0.222		-0.445		-0.461		-0.363		 0.453		-0.233		 0.767		-0.546		 0.051		-0.017 		 0.517 +/-  0.120
 X5		-0.162		-0.258		 0.422		-0.409		 0.064		-0.079		 0.445		-0.092		-0.185		-0.353		 0.295		 0.222		 0.999		-0.357		-0.286		-0.126		 0.400		 0.144		 0.150		-0.356		 0.204		 0.099 		 1.025 +/-  0.076
 X6		 0.580		 0.683		-0.193		 0.801		 0.240		 0.233		-0.375		 0.041		 0.666		 0.121		 0.142		-0.445		-0.357		 0.999		-0.067		-0.075		-0.303		-0.082		-0.494		-0.073		-0.335		-0.509 		-1.007 +/-  0.142
 X7		-0.186		-0.060		-0.249		 0.033		 0.088		-0.068		-0.862		-0.019		-0.139		 0.628		-0.618		-0.461		-0.286		-0.067		 0.999		 0.246		-0.464		 0.015		-0.431		 0.605		 0.236		 0.188 		 0.788 +/-  0.107
 X8		-0.410		 0.466		-0.158		-0.277		 0.116		 0.008		-0.445		-0.055		 0.032		 0.402		-0.372		-0.363		-0.126		-0.075		 0.246		 0.999		-0.264		 0.160		-0.383		 0.316		 0.078		 0.180 		-0.249 +/-  0.067
 X9		 0.186		-0.241		 0.449		 0.125		 0.008		-0.069		 0.785		-0.068		-0.236		-0.609		 0.396		 0.453		 0.400		-0.303		-0.464		-0.264		 0.999		 0.038		 0.393		-0.557		 0.122		-0.112 		 0.294 +/-  0.085
X10		-0.121		 0.036		 0.117		-0.009		 0.197		-0.002		-0.203		-0.122		 0.025		 0.126		-0.004		-0.233		 0.144		-0.082		 0.015		 0.160		 0.038		 0.999		-0.354		 0.051		 0.136		 0.055 		 0.034 +/-  0.065
X11		 0.052		-0.371		 0.232		-0.129		-0.396		-0.109		 0.973		 0.120		-0.531		-0.674		 0.193		 0.767		 0.150		-0.494		-0.431		-0.383		 0.393		-0.354		 0.999		-0.443		-0.049		 0.034 		 0.281 +/-  0.221
X12		-0.357		-0.346		-0.418		-0.188		-0.106		-0.050		-0.976		-0.002		-0.137		 0.705		-0.651		-0.546		-0.356		-0.073		 0.605		 0.316		-0.557		 0.051		-0.443		 0.999		 0.070		 0.360 		-0.054 +/-  0.138
log10A4		 0.021		-0.513		 0.052		 0.041		 0.216		-0.397		 0.098		-0.363		-0.218		 0.084		-0.118		 0.051		 0.204		-0.335		 0.236		 0.078		 0.122		 0.136		-0.049		 0.070		 1.000		 0.109 		 3.928 +/-  0.193
log10A2		-1.154		-1.270		-0.328		-1.905		 0.001		-0.060		-0.183		 0.002		-0.317		 0.284		-0.234		-0.017		 0.099		-0.509		 0.188		 0.180		-0.112		 0.055		 0.034		 0.360		 0.109		 1.000 		 2.728 +/-  0.513
