   100 1.15117e+01 2.48602e-01 1.89761e+00 1.98074e-05 
   200 8.88066e+00 3.59957e-01 1.81439e+00 1.69354e-05 
   300 8.53438e+00 2.21255e-01 1.86035e+00 1.87891e-05 
   400 1.18095e+01 4.03508e-01 1.92024e+00 2.13237e-05 
   500 5.63349e+00 1.81507e-01 1.78851e+00 1.63663e-05 
   600 1.11835e+01 3.64133e-01 1.98254e+00 2.47005e-05 
   700 8.08511e+00 2.80434e-01 1.88753e+00 1.95267e-05 
   800 1.48181e+01 5.13259e-01 1.90085e+00 2.06953e-05 
   900 1.74483e+01 3.41613e-01 1.88660e+00 1.96625e-05 
  1000 5.38590e+00 1.86505e-01 1.83982e+00 1.79270e-05 
  1100 1.58461e+01 5.47951e-01 1.91534e+00 2.07020e-05 
  1200 1.41031e+01 5.36412e-01 1.93135e+00 2.10301e-05 
  1300 1.25982e+01 4.05556e-01 1.94425e+00 2.36451e-05 
  1400 9.13255e+00 4.02385e-01 1.76499e+00 1.46071e-05 
  1500 8.13102e+00 3.01909e-01 1.89840e+00 2.06320e-05 
  1600 1.55498e+01 4.51743e-01 2.01805e+00 2.76688e-05 
  1700 1.04555e+01 3.90114e-01 1.81952e+00 1.68256e-05 
  1800 6.73868e+00 2.71214e-01 1.80634e+00 1.67089e-05 
  1900 1.54145e+01 3.90885e-01 2.11946e+00 3.44296e-05 
  2000 1.46489e+01 5.71320e-01 1.94326e+00 2.23036e-05 
  2100 1.13828e+01 3.82537e-01 1.91445e+00 2.10369e-05 
  2200 1.09077e+01 4.21831e-01 1.96575e+00 2.43116e-05 
  2300 1.63765e+01 4.80754e-01 1.91010e+00 2.09979e-05 
  2400 1.26447e+01 4.45109e-01 1.84548e+00 1.87246e-05 
  2500 1.17105e+01 4.62431e-01 1.83094e+00 1.68899e-05 
  2600 1.83002e+01 5.56504e-01 1.84589e+00 1.79503e-05 
  2700 1.35486e+01 5.39367e-01 1.86534e+00 1.90509e-05 
  2800 7.47961e+00 2.97276e-01 1.90286e+00 1.95944e-05 
  2900 7.99098e+00 3.26084e-01 1.86008e+00 1.86393e-05 
  3000 9.45844e+00 3.36427e-01 1.97122e+00 2.50772e-05 
  3100 1.43157e+01 5.03303e-01 1.93279e+00 2.16621e-05 
  3200 1.03083e+01 3.50762e-01 1.89898e+00 2.11726e-05 
  3300 1.70820e+01 4.65624e-01 1.91834e+00 2.06052e-05 
  3400 1.09087e+01 3.99396e-01 1.91027e+00 2.11826e-05 
  3500 1.22064e+01 3.93599e-01 2.00155e+00 2.46961e-05 
  3600 1.60453e+01 5.22609e-01 1.81362e+00 1.67344e-05 
  3700 1.27304e+01 4.86914e-01 1.71979e+00 1.35922e-05 
  3800 1.01356e+01 3.16279e-01 2.02989e+00 2.75844e-05 
  3900 7.89588e+00 2.52149e-01 2.05604e+00 2.98528e-05 
  4000 1.11281e+01 3.81789e-01 2.02344e+00 2.78102e-05 
  4100 1.10088e+01 3.92080e-01 1.99876e+00 2.53663e-05 
  4200 1.20406e+01 4.07039e-01 1.98838e+00 2.54019e-05 
  4300 1.11051e+01 4.35319e-01 1.66059e+00 1.21356e-05 
  4400 5.74518e+00 2.41460e-01 1.74568e+00 1.46035e-05 
  4500 6.76633e+00 2.28802e-01 1.93736e+00 2.28673e-05 
  4600 1.11462e+01 3.45013e-01 1.99202e+00 2.51793e-05 
  4700 1.03938e+01 4.16782e-01 1.85901e+00 1.85330e-05 
  4800 1.36378e+01 4.09470e-01 1.86868e+00 1.86982e-05 
  4900 9.15258e+00 4.20097e-01 1.61876e+00 1.11503e-05 
  5000 8.59605e+00 2.66031e-01 2.02881e+00 2.55360e-05 
  5100 1.30166e+01 4.34594e-01 1.85526e+00 1.78581e-05 
  5200 5.28881e+00 2.28208e-01 1.73300e+00 1.46351e-05 
  5300 1.68634e+01 3.37455e-01 1.78738e+00 1.64084e-05 
  5400 1.83132e+01 3.70137e-01 2.00068e+00 2.45984e-05 
  5500 1.40823e+01 4.15033e-01 1.94621e+00 2.37907e-05 
  5600 1.04749e+01 3.97162e-01 1.72798e+00 1.39459e-05 
  5700 7.53674e+00 2.72663e-01 1.93993e+00 2.16466e-05 
  5800 8.48855e+00 3.04249e-01 1.94948e+00 2.22128e-05 
  5900 1.26080e+01 4.29346e-01 1.80484e+00 1.65938e-05 
  6000 5.68432e+00 2.45417e-01 1.77631e+00 1.60648e-05 
  6100 1.00040e+01 4.48401e-01 1.75015e+00 1.39049e-05 
  6200 4.45131e+00 1.40579e-01 1.90781e+00 2.15556e-05 
  6300 7.83873e+00 2.37669e-01 1.77678e+00 1.61225e-05 
  6400 1.18192e+01 4.82749e-01 1.78203e+00 1.60978e-05 
  6500 1.28509e+01 3.96329e-01 1.88254e+00 1.99874e-05 
  6600 1.41381e+01 3.98592e-01 1.95135e+00 2.21254e-05 
  6700 9.85789e+00 2.81938e-01 1.94210e+00 2.18584e-05 
  6800 8.63933e+00 3.63603e-01 1.75750e+00 1.49090e-05 
  6900 2.10454e+01 5.70872e-01 1.78251e+00 1.63218e-05 
  7000 8.01725e+00 3.44808e-01 1.71684e+00 1.34102e-05 
  7100 9.25566e+00 3.74670e-01 1.81614e+00 1.66839e-05 
  7200 8.29815e+00 3.34896e-01 1.83136e+00 1.75809e-05 
  7300 1.41111e+01 4.85657e-01 1.96996e+00 2.39272e-05 
  7400 1.49353e+01 4.28122e-01 1.97881e+00 2.57041e-05 
  7500 9.44414e+00 4.28268e-01 1.71078e+00 1.31636e-05 
  7600 1.27965e+01 5.20140e-01 1.79191e+00 1.53847e-05 
  7700 9.76109e+00 3.92039e-01 1.85531e+00 1.80165e-05 
  7800 1.02405e+01 3.33113e-01 2.02132e+00 2.65162e-05 
  7900 8.12717e+00 3.23174e-01 1.92396e+00 2.17449e-05 
  8000 1.17733e+01 5.06083e-01 1.75374e+00 1.48440e-05 
  8100 7.19352e+00 2.62890e-01 1.87695e+00 1.83951e-05 
  8200 1.04669e+01 3.63505e-01 1.94398e+00 2.27397e-05 
  8300 8.31240e+00 3.34115e-01 1.88442e+00 2.00000e-05 
