   100 1.22596e+02 5.05266e+00 1.92487e+00 4.62504e+05 1.38766e-05 3.08835e+00 6.89794e+05 1.49546e-06 -1.58805e+00 -6.71264e-01 2.86356e-01 7.72823e-01 1.20014e+00 2.18581e+11 2.14003e+12 
   200 1.17791e+02 5.96710e+00 1.92487e+00 4.62504e+05 1.14851e-05 3.08835e+00 6.89794e+05 5.98468e-07 -1.57295e+00 -6.95037e-01 2.57492e-01 7.58438e-01 1.25205e+00 2.06556e+11 2.01835e+12 
   300 8.48218e+01 4.38775e+00 1.92487e+00 4.13589e+05 1.14851e-05 3.05300e+00 6.72664e+05 5.98468e-07 -1.45252e+00 -6.84030e-01 2.04230e-01 6.48021e-01 1.28430e+00 4.22930e+09 6.35941e+11 
   400 7.39479e+01 3.95947e+00 1.92487e+00 4.13589e+05 1.14851e-05 3.04532e+00 6.72664e+05 5.98468e-07 -1.44295e+00 -6.86226e-01 1.86047e-01 6.53858e-01 1.28927e+00 4.31569e+09 6.62962e+11 
   500 7.55639e+01 3.94473e+00 1.92487e+00 4.13589e+05 1.14851e-05 3.05316e+00 6.72664e+05 5.98468e-07 -1.42603e+00 -6.99532e-01 1.87338e-01 6.36237e-01 1.30199e+00 4.32008e+09 6.25001e+11 
   600 8.59048e+01 4.16431e+00 1.92487e+00 4.13589e+05 1.14851e-05 3.05316e+00 6.72664e+05 5.98468e-07 -1.46520e+00 -6.85072e-01 2.25634e-01 6.45599e-01 1.27904e+00 4.20737e+09 6.46117e+11 
   700 4.62135e+01 2.49391e+00 1.92487e+00 3.98777e+05 1.00544e-05 3.05316e+00 5.95989e+05 4.08937e-06 -1.32176e+00 -7.06157e-01 1.61439e-01 6.38235e-01 1.22825e+00 1.19130e+09 2.15317e+09 
   800 4.31986e+01 2.07045e+00 1.92487e+00 3.98777e+05 1.00538e-05 3.00707e+00 5.95989e+05 1.06812e-05 -1.39322e+00 -5.14340e-01 1.95120e-01 6.98076e-01 1.01436e+00 1.08586e+09 3.82242e+09 
   900 3.89239e+01 1.75645e+00 1.92487e+00 3.98777e+05 1.00538e-05 3.09109e+00 5.95989e+05 1.06812e-05 -1.37473e+00 -5.35137e-01 1.69507e-01 7.17481e-01 1.02288e+00 1.12295e+09 2.52196e+09 
  1000 3.11398e+01 1.30910e+00 1.92487e+00 3.68201e+05 1.00538e-05 3.09109e+00 5.81130e+05 1.06812e-05 -1.26909e+00 -5.20423e-01 1.38431e-01 6.04380e-01 1.04671e+00 9.92447e+07 7.97859e+08 
  1100 1.63569e+01 9.34108e-01 1.92487e+00 3.61634e+05 1.00538e-05 3.06981e+00 5.34056e+05 1.06812e-05 -1.16695e+00 -5.68662e-01 8.46078e-02 5.69911e-01 1.08109e+00 5.98728e+07 2.38996e+07 
  1200 2.77849e+01 1.21443e+00 1.92487e+00 3.61634e+05 1.00538e-05 3.06981e+00 5.34056e+05 1.06812e-05 -1.16549e+00 -5.75344e-01 8.34561e-02 5.87182e-01 1.07020e+00 5.94890e+07 2.40909e+07 
  1300 1.98754e+01 1.05807e+00 1.92487e+00 3.61634e+05 1.00538e-05 3.06981e+00 5.34056e+05 1.06812e-05 -1.19459e+00 -5.57140e-01 9.82064e-02 5.85720e-01 1.06780e+00 5.90902e+07 2.40873e+07 
  1400 1.76415e+01 8.89756e-01 2.25612e+00 3.61634e+05 6.51113e-06 3.02440e+00 5.34056e+05 1.06812e-05 -1.11805e+00 -5.96099e-01 1.00582e-01 5.30645e-01 1.08292e+00 1.28378e+08 3.00295e+07 
  1500 1.91595e+01 8.52631e-01 2.25612e+00 3.61634e+05 6.51113e-06 3.02440e+00 5.34056e+05 1.06812e-05 -1.13175e+00 -6.01626e-01 9.62871e-02 5.56561e-01 1.08052e+00 1.25740e+08 3.07558e+07 
  1600 1.85234e+01 8.74745e-01 2.25612e+00 3.61634e+05 6.51113e-06 3.02440e+00 5.34056e+05 1.06812e-05 -1.12694e+00 -5.67330e-01 7.05696e-02 5.40858e-01 1.08284e+00 1.30291e+08 3.01846e+07 
  1700 1.78509e+01 8.27859e-01 2.25612e+00 3.57435e+05 6.51113e-06 2.99662e+00 5.25346e+05 1.06812e-05 -1.10995e+00 -6.01908e-01 7.16536e-02 5.46526e-01 1.09368e+00 9.15632e+07 1.77706e+07 
  1800 2.17199e+01 1.01657e+00 2.25612e+00 3.57435e+05 6.51113e-06 3.00988e+00 5.25346e+05 1.06812e-05 -1.09375e+00 -5.88793e-01 5.69088e-02 5.34957e-01 1.09068e+00 9.24495e+07 1.65648e+07 
  1900 2.00474e+01 1.09087e+00 2.25612e+00 3.57435e+05 6.51113e-06 3.00988e+00 5.25346e+05 1.06812e-05 -1.09555e+00 -6.10461e-01 7.69822e-02 5.28542e-01 1.10049e+00 9.28975e+07 1.65696e+07 
  2000 1.72411e+01 8.13204e-01 2.25612e+00 3.57435e+05 6.51113e-06 3.00988e+00 5.25346e+05 1.06812e-05 -1.08103e+00 -6.14557e-01 6.57775e-02 5.22288e-01 1.10752e+00 9.23324e+07 1.65575e+07 
  2100 1.70771e+01 8.96259e-01 2.25612e+00 3.57435e+05 6.51113e-06 3.00988e+00 5.25346e+05 1.06812e-05 -1.08403e+00 -6.04196e-01 6.57109e-02 5.40398e-01 1.08212e+00 9.10151e+07 1.66136e+07 
  2200 2.52995e+01 1.21042e+00 2.25612e+00 3.57435e+05 6.51113e-06 3.00988e+00 5.25346e+05 1.06812e-05 -1.09671e+00 -6.07435e-01 7.43177e-02 5.40091e-01 1.08974e+00 9.13597e+07 1.66948e+07 
  2300 1.51508e+01 8.30061e-01 2.25612e+00 3.57435e+05 6.51113e-06 3.00988e+00 5.25346e+05 1.06812e-05 -1.10286e+00 -5.97736e-01 5.99354e-02 5.26518e-01 1.11414e+00 9.43013e+07 1.62264e+07 
  2400 1.63717e+01 8.86633e-01 2.25612e+00 3.57435e+05 6.51113e-06 3.00988e+00 5.25346e+05 1.06812e-05 -1.08669e+00 -5.94078e-01 7.00008e-02 5.17504e-01 1.09326e+00 9.23372e+07 1.64434e+07 
