   100 1.13793e+01 2.47988e-01 1.90648e+00 2.01803e-05 
   200 1.31396e+01 3.05761e-01 1.97512e+00 2.46960e-05 
   300 1.06180e+01 3.62873e-01 1.97267e+00 2.29139e-05 
   400 1.31807e+01 4.25682e-01 1.94568e+00 2.29345e-05 
   500 8.37379e+00 3.13421e-01 1.95955e+00 2.33925e-05 
   600 1.20886e+01 2.64513e-01 2.05630e+00 3.01611e-05 
   700 9.72920e+00 3.86280e-01 1.86039e+00 1.90553e-05 
   800 1.44454e+01 4.29635e-01 2.01240e+00 2.67630e-05 
   900 1.04281e+01 3.67714e-01 1.82782e+00 1.80952e-05 
  1000 1.14365e+01 3.47056e-01 1.94427e+00 2.33984e-05 
  1100 9.20405e+00 3.79116e-01 1.81548e+00 1.74627e-05 
  1200 6.75350e+00 2.66589e-01 1.81965e+00 1.69420e-05 
  1300 4.30448e+00 1.61972e-01 1.75002e+00 1.44195e-05 
  1400 9.16633e+00 3.58527e-01 1.89959e+00 2.05954e-05 
  1500 8.21741e+00 2.45717e-01 1.95733e+00 2.34726e-05 
  1600 1.61169e+01 4.29887e-01 1.94743e+00 2.25740e-05 
  1700 9.83346e+00 4.14210e-01 1.73682e+00 1.41658e-05 
  1800 9.81423e+00 4.19174e-01 1.82294e+00 1.68329e-05 
  1900 8.35592e+00 3.12439e-01 1.75422e+00 1.43251e-05 
  2000 1.46617e+01 3.21168e-01 1.98979e+00 2.59682e-05 
  2100 5.09978e+00 1.96223e-01 1.93928e+00 2.25794e-05 
  2200 1.38905e+01 4.18658e-01 1.90215e+00 2.01053e-05 
  2300 1.16325e+01 4.61235e-01 1.93668e+00 2.23643e-05 
  2400 1.16780e+01 3.81102e-01 1.96724e+00 2.48461e-05 
  2500 1.83833e+01 5.25893e-01 1.74654e+00 1.43515e-05 
  2600 1.99204e+01 3.94167e-01 1.90166e+00 2.08615e-05 
  2700 1.45002e+01 4.14767e-01 2.00363e+00 2.69738e-05 
  2800 1.01320e+01 3.56891e-01 2.02240e+00 2.57118e-05 
  2900 6.60252e+00 2.48310e-01 1.88464e+00 2.04400e-05 
  3000 1.38763e+01 2.56973e-01 1.93814e+00 2.38492e-05 
  3100 6.38259e+00 2.51519e-01 1.76246e+00 1.51905e-05 
  3200 1.34211e+01 5.05718e-01 1.84024e+00 1.76907e-05 
  3300 1.45150e+01 5.23670e-01 1.97437e+00 2.34761e-05 
  3400 6.82635e+00 2.27140e-01 1.97500e+00 2.52606e-05 
  3500 5.25644e+00 1.94698e-01 1.86404e+00 1.76066e-05 
  3600 5.79599e+00 2.27055e-01 1.89171e+00 1.96720e-05 
  3700 9.43375e+00 2.88450e-01 1.90665e+00 2.04585e-05 
  3800 7.84455e+00 3.07972e-01 1.92129e+00 2.10418e-05 
  3900 1.14167e+01 4.09135e-01 1.97619e+00 2.38450e-05 
  4000 1.59438e+01 3.34821e-01 1.91806e+00 2.19814e-05 
  4100 1.35699e+01 3.97595e-01 1.95890e+00 2.36672e-05 
  4200 1.60145e+01 4.68425e-01 1.89290e+00 1.99382e-05 
  4300 9.77167e+00 3.00115e-01 1.89838e+00 2.01625e-05 
  4400 9.56692e+00 3.48724e-01 1.86634e+00 2.07471e-05 
  4500 6.76196e+00 2.74473e-01 1.84429e+00 1.80640e-05 
  4600 6.97688e+00 2.81016e-01 1.82657e+00 1.73814e-05 
  4700 1.70040e+01 6.52460e-01 1.76448e+00 1.52755e-05 
  4800 1.40618e+01 4.03711e-01 1.86520e+00 1.92025e-05 
  4900 1.10732e+01 3.70673e-01 1.95662e+00 2.39514e-05 
  5000 9.85273e+00 3.70789e-01 1.89558e+00 2.05738e-05 
  5100 1.70870e+01 5.48144e-01 1.88814e+00 1.98964e-05 
  5200 5.46497e+00 2.37847e-01 1.86685e+00 1.95693e-05 
  5300 9.76192e+00 4.07618e-01 1.89181e+00 2.08717e-05 
  5400 9.52262e+00 3.74589e-01 1.87360e+00 1.98250e-05 
  5500 7.21158e+00 3.13467e-01 1.69855e+00 1.26795e-05 
  5600 7.02938e+00 2.60814e-01 1.88910e+00 1.88612e-05 
  5700 1.02825e+01 4.41301e-01 1.64707e+00 1.17367e-05 
  5800 1.15844e+01 3.64079e-01 1.84929e+00 1.88555e-05 
  5900 8.45096e+00 3.34457e-01 1.84005e+00 1.82035e-05 
  6000 6.15854e+00 2.24002e-01 1.89156e+00 2.17862e-05 
  6100 2.04074e+01 4.12762e-01 1.86767e+00 1.86047e-05 
  6200 1.45402e+01 5.02214e-01 2.01898e+00 2.74410e-05 
  6300 7.69388e+00 3.34749e-01 1.82309e+00 1.70500e-05 
  6400 6.85747e+00 2.62440e-01 1.74496e+00 1.46063e-05 
  6500 9.34314e+00 2.59484e-01 1.75596e+00 1.43535e-05 
  6600 8.31619e+00 3.35665e-01 1.76090e+00 1.48277e-05 
  6700 6.00742e+00 2.57125e-01 1.84765e+00 1.74435e-05 
  6800 6.73823e+00 2.57385e-01 1.80623e+00 1.64680e-05 
  6900 1.09112e+01 2.97609e-01 1.98799e+00 2.46611e-05 
  7000 1.24219e+01 5.15354e-01 1.81798e+00 1.68548e-05 
  7100 1.37408e+01 3.90736e-01 1.72414e+00 1.38593e-05 
  7200 8.80909e+00 3.41167e-01 1.86142e+00 1.98694e-05 
  7300 1.25974e+01 5.40400e-01 1.81627e+00 1.59886e-05 
  7400 1.32141e+01 3.89723e-01 1.77181e+00 1.52572e-05 
  7500 4.90265e+00 2.02650e-01 1.76213e+00 1.55738e-05 
