   100 1.54652e+01 2.77754e-01 1.98341e+00 1.08586e+00 1.87791e-05 
   200 1.12655e+01 5.45500e-01 1.74921e+00 8.28493e-01 2.43028e-05 
   300 5.76999e+00 2.43932e-01 1.75481e+00 9.57245e-01 1.63456e-05 
   400 6.52372e+00 2.94575e-01 1.76322e+00 9.43415e-01 1.84878e-05 
   500 1.36265e+01 4.68726e-01 1.87323e+00 1.12599e+00 1.33944e-05 
   600 1.13064e+01 3.66656e-01 1.98642e+00 1.02867e+00 2.27517e-05 
   700 6.05822e+00 1.99450e-01 1.89089e+00 1.07650e+00 1.60241e-05 
   800 6.26351e+00 2.54901e-01 1.83405e+00 1.06655e+00 1.49620e-05 
   900 1.31864e+01 4.71751e-01 1.94274e+00 1.14553e+00 1.54495e-05 
  1000 1.10852e+01 2.71950e-01 1.82528e+00 1.02497e+00 1.59724e-05 
  1100 6.08313e+00 2.06480e-01 1.99168e+00 1.14654e+00 1.56314e-05 
  1200 1.32609e+01 3.90357e-01 1.91983e+00 1.07073e+00 1.77653e-05 
  1300 1.06276e+01 2.85153e-01 1.99887e+00 1.08135e+00 2.10988e-05 
  1400 8.81264e+00 3.11048e-01 1.88725e+00 9.14712e-01 2.67385e-05 
  1500 1.96235e+01 6.04300e-01 1.85113e+00 9.26771e-01 2.33733e-05 
  1600 1.19222e+01 4.11180e-01 1.93789e+00 9.92813e-01 2.29241e-05 
  1700 9.00719e+00 3.19141e-01 1.88506e+00 1.06123e+00 1.67750e-05 
  1800 1.40999e+01 4.41670e-01 1.92971e+00 1.00736e+00 2.09492e-05 
  1900 1.15224e+01 4.19004e-01 1.89352e+00 9.74195e-01 2.25147e-05 
  2000 7.37210e+00 3.08311e-01 1.82501e+00 1.13503e+00 1.17261e-05 
  2100 8.20972e+00 3.67697e-01 1.80613e+00 9.08283e-01 2.29286e-05 
  2200 1.01833e+01 4.08637e-01 1.76661e+00 9.84877e-01 1.60024e-05 
  2300 6.32812e+00 2.01727e-01 1.94470e+00 1.10012e+00 1.53583e-05 
  2400 1.43048e+01 4.27488e-01 1.89053e+00 1.06792e+00 1.68121e-05 
  2500 6.77601e+00 2.33403e-01 1.91031e+00 1.00621e+00 2.11660e-05 
  2600 6.08892e+00 2.38452e-01 1.86910e+00 1.01792e+00 1.81706e-05 
  2700 1.99420e+01 3.48218e-01 2.02258e+00 1.08786e+00 2.16623e-05 
  2800 1.06303e+01 4.86890e-01 1.76840e+00 8.01560e-01 2.63240e-05 
  2900 1.01577e+01 3.47261e-01 1.98223e+00 1.03854e+00 2.08253e-05 
  3000 1.38928e+01 5.68792e-01 1.92534e+00 9.05641e-01 2.82112e-05 
  3100 7.67365e+00 3.05979e-01 1.88060e+00 9.74324e-01 2.18910e-05 
  3200 1.20657e+01 2.70855e-01 1.89839e+00 9.90781e-01 2.10856e-05 
  3300 1.23094e+01 5.70313e-01 1.81322e+00 7.93573e-01 3.06846e-05 
  3400 1.16570e+01 3.62291e-01 1.96330e+00 1.10295e+00 1.76331e-05 
  3500 9.33410e+00 2.65387e-01 2.07735e+00 1.08213e+00 2.41205e-05 
  3600 1.36231e+01 3.09299e-01 2.11176e+00 1.12790e+00 2.36931e-05 
  3700 1.08926e+01 4.65555e-01 1.74172e+00 8.96746e-01 1.99427e-05 
  3800 7.68823e+00 3.10967e-01 1.86889e+00 9.96358e-01 1.89365e-05 
  3900 4.77405e+00 2.17489e-01 1.85319e+00 9.48617e-01 2.23593e-05 
  4000 5.60298e+00 2.20063e-01 1.90715e+00 9.24527e-01 2.71067e-05 
  4100 7.20516e+00 3.02772e-01 1.89618e+00 9.72189e-01 2.13090e-05 
  4200 1.02005e+01 3.74022e-01 1.79701e+00 9.80158e-01 1.71353e-05 
