10100 1.898870e+01 6.166180e-01 1.718050e+00 3.901880e+04 -9.822460e-01 -1.442700e+00 2.424950e+00 2.900790e-04
10200 2.057870e+01 5.168570e-01 1.715680e+00 4.173260e+03 -9.755500e-01 -1.574030e+00 2.549580e+00 1.901110e-05
10300 1.691380e+01 7.498230e-01 1.781630e+00 6.526830e+03 -9.869560e-01 -1.598090e+00 2.585050e+00 2.505580e-05
10400 1.007200e+01 4.396710e-01 1.860500e+00 3.724490e+04 -9.385740e-01 -1.570620e+00 2.509190e+00 3.546600e-04
10500 1.606770e+01 5.137170e-01 1.855230e+00 4.985520e+04 -9.241890e-01 -1.525310e+00 2.449500e+00 9.558420e-04
10600 1.044400e+01 3.723980e-01 1.783450e+00 1.436790e+04 -1.007090e+00 -1.568770e+00 2.575860e+00 4.742290e-05
10700 7.597120e+00 2.605680e-01 1.855580e+00 1.918920e+05 -9.646350e-01 -5.911010e-01 1.555740e+00 6.921330e+01
10800 1.923970e+01 5.870930e-01 1.665140e+00 1.778370e+05 -9.751150e-01 -6.841700e-01 1.659280e+00 1.562600e+01
10900 1.362850e+01 5.527630e-01 1.801440e+00 3.165900e+05 -1.017060e+00 3.576240e-02 9.812950e-01 1.259170e+06
11000 1.898970e+01 6.044280e-01 1.735640e+00 5.992160e+04 -1.058980e+00 -1.239130e+00 2.298120e+00 1.589790e-03
11100 8.465800e+00 4.405790e-01 1.643810e+00 9.384050e+04 -9.560560e-01 -1.176690e+00 2.132740e+00 1.927920e-02
11200 1.517330e+01 3.187120e-01 2.081850e+00 2.439630e+03 -9.345700e-01 -1.736190e+00 2.670760e+00 3.536680e-05
11300 1.161170e+01 4.348220e-01 1.731990e+00 7.793280e+05 -1.141290e+00 2.464660e+00 -1.323370e+00 9.008720e+21
11400 1.877420e+01 6.166850e-01 1.913340e+00 9.926120e+05 -1.220640e+00 3.650910e+00 -2.430270e+00 2.978160e+29
11500 1.079930e+01 4.374510e-01 1.856260e+00 2.067870e+04 -1.013990e+00 -1.475730e+00 2.489730e+00 9.289200e-05
11600 2.084440e+01 6.550150e-01 1.734670e+00 5.742650e+03 -1.033360e+00 -1.586490e+00 2.619850e+00 2.277990e-05
11700 1.065180e+01 4.527710e-01 1.869560e+00 2.340460e+04 -1.004320e+00 -1.489350e+00 2.493670e+00 1.191020e-04
11800 1.094970e+01 3.573050e-01 1.919370e+00 8.706050e+04 -9.365760e-01 -1.219100e+00 2.155680e+00 2.086840e-02
11900 9.586920e+00 4.255010e-01 1.766830e+00 1.241140e+04 -1.087770e+00 -1.522580e+00 2.610350e+00 3.924680e-05
12000 1.544970e+01 5.707040e-01 1.766640e+00 5.696080e+04 -9.973910e-01 -1.326540e+00 2.323930e+00 1.326950e-03
12100 1.307630e+01 4.948340e-01 1.782970e+00 8.713320e+04 -1.087160e+00 -1.160680e+00 2.247840e+00 1.463510e-02
12200 1.999780e+01 7.228990e-01 1.669020e+00 5.536500e+02 -9.323250e-01 -1.651790e+00 2.584120e+00 1.296980e-05
12300 9.902970e+00 3.968060e-01 1.856680e+00 9.198920e+05 -1.304570e+00 3.261240e+00 -1.956670e+00 7.197010e+26
12400 1.080060e+01 4.041000e-01 1.758640e+00 6.034990e+05 -1.195680e+00 1.666200e+00 -4.705230e-01 8.203570e+15
12500 1.983300e+01 4.633350e-01 1.831190e+00 6.686340e+05 -1.083250e+00 1.915790e+00 -8.325350e-01 1.810250e+18
12600 1.017770e+01 3.722150e-01 1.905780e+00 4.647800e+05 -1.168610e+00 8.509510e-01 3.176590e-01 1.837050e+11
12700 1.449480e+01 4.863360e-01 1.866410e+00 6.410330e+05 -1.187240e+00 1.800820e+00 -6.135760e-01 2.072100e+17
12800 2.455020e+01 7.720810e-01 1.865790e+00 2.514910e+04 -9.074730e-01 -1.563790e+00 2.471270e+00 1.377870e-04
12900 1.233300e+01 4.025470e-01 1.876340e+00 1.682080e+05 -9.750020e-01 -7.316190e-01 1.706620e+00 1.132870e+01
13000 9.945310e+00 3.008430e-01 1.848220e+00 6.276700e+04 -9.733920e-01 -1.222980e+00 2.196370e+00 2.549920e-03
