   100 1.10714e+01 4.05689e-01 1.96115e+00 3.00861e+05 9.83131e-06 5.14123e+05 
   200 1.13417e+01 4.66123e-01 1.95062e+00 2.97579e+05 9.70846e-06 3.77643e+05 
   300 8.06575e+00 2.55816e-01 1.96367e+00 3.00709e+05 1.03209e-05 5.16456e+05 
   400 1.17448e+01 4.77444e-01 1.96608e+00 2.86131e+05 1.03468e-05 1.61610e+05 
   500 1.21617e+01 4.71201e-01 1.95257e+00 2.92056e+05 1.00113e-05 2.46066e+05 
   600 7.28351e+00 3.09385e-01 1.92281e+00 2.95547e+05 8.55043e-06 2.70869e+05 
   700 9.96781e+00 4.17168e-01 1.90323e+00 3.07830e+05 9.03700e-06 7.28210e+05 
   800 1.52915e+01 4.88204e-01 1.86474e+00 3.03988e+05 1.00848e-05 5.56909e+05 
   900 1.14734e+01 4.20925e-01 2.05540e+00 2.98674e+05 9.88380e-06 5.26423e+05 
  1000 1.08015e+01 3.80345e-01 1.92517e+00 3.07293e+05 9.23945e-06 7.56864e+05 
  1100 8.07422e+00 3.16502e-01 1.97422e+00 3.07657e+05 1.00621e-05 9.22163e+05 
  1200 6.68321e+00 2.82400e-01 1.97219e+00 3.03599e+05 9.86007e-06 6.24825e+05 
  1300 1.35228e+01 4.27839e-01 1.87365e+00 2.97686e+05 9.96576e-06 3.34090e+05 
  1400 1.24536e+01 3.98571e-01 2.03195e+00 2.96958e+05 1.03340e-05 4.50768e+05 
  1500 9.43497e+00 3.71361e-01 1.95782e+00 2.99996e+05 1.07133e-05 4.91190e+05 
  1600 9.64420e+00 4.18725e-01 1.93443e+00 2.88836e+05 9.74813e-06 1.85207e+05 
  1700 9.67255e+00 3.83166e-01 1.87664e+00 2.87908e+05 1.04326e-05 1.52439e+05 
  1800 8.16936e+00 3.05731e-01 1.98602e+00 3.00706e+05 9.51970e-06 5.07714e+05 
  1900 8.24844e+00 3.33585e-01 1.91238e+00 3.00973e+05 9.61216e-06 4.57524e+05 
  2000 8.66061e+00 3.25372e-01 1.93493e+00 3.05502e+05 9.74049e-06 6.99352e+05 
  2100 8.76086e+00 3.48815e-01 1.98349e+00 3.08731e+05 8.94460e-06 8.90804e+05 
  2200 9.39856e+00 3.74950e-01 1.96773e+00 2.95515e+05 9.44145e-06 3.25407e+05 
  2300 1.03859e+01 3.26205e-01 1.91260e+00 3.00251e+05 1.03157e-05 4.41329e+05 
  2400 8.25127e+00 3.17868e-01 2.02151e+00 3.03949e+05 9.91337e-06 7.41813e+05 
  2500 1.10469e+01 3.44322e-01 1.94095e+00 3.03576e+05 9.43926e-06 5.73471e+05 
  2600 1.33477e+01 4.78646e-01 1.98288e+00 2.96928e+05 1.08036e-05 4.18612e+05 
  2700 1.03133e+01 3.47935e-01 1.96284e+00 2.98881e+05 9.26036e-06 4.12442e+05 
  2800 8.59897e+00 3.25911e-01 1.99142e+00 3.01559e+05 9.33798e-06 5.58647e+05 
  2900 1.21954e+01 4.45936e-01 1.94767e+00 2.99511e+05 1.06918e-05 4.75337e+05 
  3000 1.01290e+01 3.75200e-01 1.94988e+00 3.14432e+05 9.96463e-06 1.48549e+06 
  3100 1.33396e+01 4.63774e-01 1.97896e+00 2.95318e+05 1.04757e-05 3.49144e+05 
  3200 8.94770e+00 3.67036e-01 1.95235e+00 2.96677e+05 9.54933e-06 3.36935e+05 
  3300 6.11594e+00 2.63686e-01 1.92802e+00 3.01657e+05 9.36731e-06 4.96150e+05 
  3400 6.51566e+00 2.84696e-01 1.95031e+00 3.11130e+05 9.65151e-06 1.10856e+06 
  3500 8.73443e+00 3.73764e-01 1.94535e+00 3.11727e+05 9.47559e-06 1.11995e+06 
  3600 1.00146e+01 4.16188e-01 1.89955e+00 2.95019e+05 9.70989e-06 2.74772e+05 
  3700 1.13159e+01 4.34377e-01 1.99020e+00 3.12010e+05 9.92042e-06 1.30450e+06 
  3800 9.38619e+00 3.78180e-01 1.98184e+00 3.02123e+05 9.46206e-06 5.53553e+05 
  3900 8.69294e+00 3.65035e-01 1.91427e+00 2.97022e+05 1.09653e-05 3.72777e+05 
  4000 1.12427e+01 4.29964e-01 1.96317e+00 3.11106e+05 9.80115e-06 1.16006e+06 
  4100 9.87448e+00 4.38161e-01 1.96697e+00 3.09381e+05 9.51457e-06 9.68480e+05 
  4200 1.26477e+01 5.33285e-01 1.92874e+00 2.98179e+05 9.73850e-06 3.78228e+05 
  4300 1.24321e+01 4.37524e-01 1.99892e+00 2.99831e+05 9.06062e-06 4.64186e+05 
  4400 1.20901e+01 4.86295e-01 2.02036e+00 2.95779e+05 1.05674e-05 3.85101e+05 
