10100 9.165420e+00 2.829490e-01 1.728070e+00 -9.593740e-01 -4.297380e-02 1.002350e+00 1.494300e-05
10200 1.196820e+01 3.070230e-01 1.848690e+00 -1.086380e+00 1.356880e-02 1.072810e+00 1.823620e-05
10300 7.692240e+00 2.893680e-01 1.905240e+00 -1.030490e+00 3.431160e-02 9.961790e-01 2.071210e-05
10400 1.138310e+01 3.684670e-01 1.794490e+00 -1.004540e+00 -5.804970e-02 1.062590e+00 1.612000e-05
10500 1.157330e+01 3.203300e-01 2.117340e+00 -9.982200e-01 -3.950870e-03 1.002170e+00 3.347190e-05
10600 6.559960e+00 3.243960e-01 1.715390e+00 -1.022060e+00 -6.380610e-02 1.085870e+00 1.372900e-05
10700 1.629080e+01 5.795180e-01 1.755580e+00 -1.083300e+00 -3.699600e-02 1.120300e+00 1.452420e-05
10800 6.912300e+00 2.820960e-01 1.879350e+00 -9.560270e-01 -3.706730e-02 9.930940e-01 1.947400e-05
10900 1.229710e+01 3.571730e-01 1.871300e+00 -9.776100e-01 -5.951830e-02 1.037130e+00 1.970040e-05
11000 1.159510e+01 3.541420e-01 1.875560e+00 -1.031410e+00 -2.551180e-02 1.056920e+00 2.039180e-05
11100 4.994170e+00 1.800410e-01 1.876100e+00 -1.105370e+00 3.302570e-02 1.072340e+00 2.034050e-05
11200 7.387820e+00 3.071110e-01 1.825060e+00 -1.083030e+00 -2.505760e-02 1.108090e+00 1.757810e-05
11300 1.492610e+01 5.810910e-01 1.873250e+00 -1.037530e+00 2.237210e-02 1.015150e+00 2.051250e-05
11400 8.759370e+00 4.123800e-01 1.757060e+00 -1.049980e+00 3.916950e-03 1.046060e+00 1.498210e-05
11500 1.167310e+01 3.333250e-01 2.020880e+00 -1.094090e+00 1.093780e-01 9.847110e-01 2.679570e-05
11600 1.626630e+01 5.061500e-01 1.962140e+00 -1.116660e+00 9.180420e-02 1.024860e+00 2.120920e-05
11700 7.490560e+00 2.729010e-01 1.923020e+00 -1.025250e+00 4.439190e-02 9.808560e-01 2.111590e-05
11800 1.093090e+01 4.340500e-01 1.784970e+00 -9.627720e-01 -8.048080e-02 1.043250e+00 1.582050e-05
11900 1.032590e+01 3.555280e-01 1.866290e+00 -9.639550e-01 4.913790e-03 9.590420e-01 1.924190e-05
12000 1.306830e+01 4.348000e-01 1.941980e+00 -1.040080e+00 -2.708660e-03 1.042790e+00 2.281700e-05
12100 1.180040e+01 3.999090e-01 1.919760e+00 -9.364440e-01 -5.041400e-02 9.868580e-01 2.143470e-05
12200 3.973110e+00 1.591070e-01 1.902340e+00 -9.803180e-01 -7.303660e-03 9.876220e-01 2.138310e-05
12300 8.842690e+00 3.280650e-01 1.948570e+00 -9.817440e-01 -2.233130e-02 1.004080e+00 2.350290e-05
12400 1.586570e+01 4.337720e-01 1.891390e+00 -9.592670e-01 -5.659670e-02 1.015860e+00 2.077150e-05
