   100 2.16142e+00 3.06328e-01 1.93439e+00 3.02761e+00 1.65722e-05 1.49901e-11 
   200 5.53493e+00 5.40932e-01 1.93489e+00 2.82179e+00 1.60285e-05 4.24359e-11 
   300 6.00702e+00 4.36618e-01 2.22195e+00 3.06900e+00 3.44157e-05 1.21984e-11 
   400 8.79136e+00 7.03056e-01 1.84242e+00 2.89453e+00 1.36702e-05 2.83036e-11 
   500 7.25754e+00 5.84075e-01 1.73216e+00 3.47314e+00 1.23760e-05 1.44061e-12 
   600 5.44418e+00 4.00793e-01 1.73475e+00 3.12354e+00 1.11003e-05 8.67889e-12 
   700 1.21122e+01 6.88278e-01 2.15604e+00 3.21592e+00 3.38337e-05 5.21463e-12 
   800 5.87848e+00 9.04359e-01 2.25430e+00 2.36150e+00 3.24793e-05 3.71179e-10 
   900 4.73998e+00 4.32342e-01 1.94451e+00 3.25779e+00 1.72584e-05 5.07098e-12 
  1000 4.12292e+00 4.75250e-01 2.05140e+00 2.85089e+00 2.31251e-05 3.35699e-11 
  1100 6.10051e+00 4.09810e-01 2.08752e+00 3.02791e+00 2.23238e-05 1.61040e-11 
  1200 7.74958e+00 5.33362e-01 1.81786e+00 3.22881e+00 1.43756e-05 5.01029e-12 
  1300 3.34644e+00 3.85186e-01 2.22676e+00 2.95550e+00 3.13182e-05 2.18990e-11 
  1400 6.41435e+00 6.02149e-01 1.91477e+00 2.91047e+00 1.47044e-05 2.77019e-11 
  1500 6.88184e+00 4.81800e-01 1.82191e+00 3.24204e+00 1.36789e-05 4.78750e-12 
  1600 4.34276e+00 3.34116e-01 2.11699e+00 2.86267e+00 2.77590e-05 3.18599e-11 
  1700 5.63834e+00 4.35068e-01 2.12076e+00 2.76745e+00 2.39317e-05 5.36082e-11 
  1800 3.09226e+00 2.78063e-01 1.69247e+00 3.16012e+00 9.74546e-06 7.46655e-12 
  1900 6.59972e+00 4.48829e-01 1.73836e+00 3.23076e+00 1.14656e-05 5.28429e-12 
  2000 5.84561e+00 5.70101e-01 2.08003e+00 2.79920e+00 2.10094e-05 4.95579e-11 
  2100 6.12907e+00 4.00044e-01 1.97154e+00 3.06764e+00 1.90005e-05 1.21751e-11 
  2200 4.28627e+00 3.65865e-01 1.79382e+00 3.15006e+00 1.28032e-05 7.94564e-12 
  2300 6.02697e+00 4.34431e-01 1.78433e+00 3.47335e+00 1.28382e-05 1.72941e-12 
  2400 6.50559e+00 6.59182e-01 1.99072e+00 2.97086e+00 1.73219e-05 2.08516e-11 
  2500 7.17042e+00 5.34015e-01 1.86736e+00 3.11568e+00 1.56013e-05 8.55094e-12 
  2600 7.70909e+00 5.19407e-01 2.00173e+00 2.99685e+00 2.20355e-05 1.59319e-11 
  2700 5.87902e+00 4.90573e-01 2.08455e+00 2.87477e+00 2.37924e-05 3.30647e-11 
  2800 9.27395e+00 7.84070e-01 1.97618e+00 2.63993e+00 1.54295e-05 1.04239e-10 
  2900 5.14144e+00 4.32054e-01 1.91857e+00 3.41062e+00 1.78907e-05 2.30674e-12 
  3000 4.04658e+00 4.34737e-01 1.98916e+00 3.09252e+00 2.05804e-05 1.05105e-11 
  3100 4.91955e+00 4.24688e-01 1.89479e+00 3.22947e+00 1.51355e-05 5.83505e-12 
  3200 8.90806e+00 6.12651e-01 1.99938e+00 3.15777e+00 2.34564e-05 6.68742e-12 
  3300 7.78881e+00 4.81463e-01 2.14545e+00 2.91999e+00 2.89515e-05 2.24123e-11 
  3400 4.54247e+00 4.45427e-01 2.07022e+00 2.60250e+00 2.25170e-05 1.10788e-10 
  3500 7.23373e+00 5.54992e-01 1.99961e+00 3.15146e+00 1.71281e-05 9.42280e-12 
  3600 3.96935e+00 3.41130e-01 1.80992e+00 3.32034e+00 1.33142e-05 3.47164e-12 
  3700 3.98278e+00 4.06630e-01 1.81263e+00 3.22207e+00 1.30630e-05 5.60465e-12 
  3800 4.63902e+00 3.89228e-01 1.88507e+00 2.99438e+00 1.53222e-05 1.67288e-11 
  3900 7.39026e+00 5.83135e-01 2.00069e+00 2.82798e+00 1.71796e-05 4.11510e-11 
  4000 1.58671e+01 8.07251e-01 1.70790e+00 3.51132e+00 1.15446e-05 1.21162e-12 
  4100 6.19027e+00 7.64239e-01 2.28153e+00 2.51329e+00 3.52279e-05 1.74308e-10 
  4200 1.11050e+01 8.41575e-01 1.86518e+00 2.88248e+00 1.37382e-05 3.18799e-11 
  4300 3.06730e+00 3.58708e-01 1.76719e+00 3.39528e+00 1.17198e-05 2.54698e-12 
  4400 4.36131e+00 3.14627e-01 1.89734e+00 3.45973e+00 1.72453e-05 1.75435e-12 
  4500 3.29061e+00 2.28340e-01 2.00307e+00 2.99764e+00 2.09175e-05 1.62281e-11 
  4600 2.88221e+00 2.83729e-01 1.89596e+00 2.98152e+00 1.51789e-05 1.85962e-11 
  4700 4.21026e+00 5.00852e-01 1.67935e+00 3.09231e+00 8.98399e-06 1.07822e-11 
  4800 3.84411e+00 4.12716e-01 1.91220e+00 3.42481e+00 1.69429e-05 2.17697e-12 
  4900 6.19532e+00 4.54497e-01 2.09203e+00 3.07703e+00 2.66284e-05 1.09977e-11 
  5000 5.47983e+00 5.92499e-01 1.85558e+00 2.64146e+00 1.22961e-05 9.57800e-11 
