   100 5.81102e+01 2.70068e+00 8.15646e-01 1.69034e+05 1.96897e-05 3.11964e+00 5.02002e+05 1.99765e-05 -1.05962e+00 -2.17993e-01 7.55004e-04 4.45262e-01 8.31592e-01 7.61939e-01 2.42275e+06 
   200 4.15594e+01 1.58341e+00 8.15646e-01 1.52148e+05 1.80746e-05 3.11964e+00 4.77466e+05 1.84934e-05 -9.55622e-01 -2.85510e-01 -4.54405e-02 3.93701e-01 8.92871e-01 1.93420e-01 3.45469e+05 
   300 5.02880e+01 2.21485e+00 8.15646e-01 1.52148e+05 1.80746e-05 3.11964e+00 4.77466e+05 1.84934e-05 -9.58522e-01 -2.84221e-01 -3.64657e-02 3.82506e-01 8.96703e-01 1.90550e-01 3.41906e+05 
   400 3.89105e+01 1.71765e+00 8.15646e-01 1.52148e+05 1.80746e-05 3.11964e+00 4.77466e+05 1.84934e-05 -9.69208e-01 -2.74975e-01 -4.72247e-02 3.77312e-01 9.14095e-01 1.92868e-01 3.44734e+05 
   500 3.49960e+01 1.80451e+00 7.71164e-01 1.52148e+05 2.21090e-05 3.08165e+00 4.77466e+05 1.84934e-05 -1.00925e+00 -2.78607e-01 -2.36600e-02 4.23747e-01 8.87766e-01 1.92353e-01 4.16211e+05 
   600 3.08888e+01 1.78985e+00 7.71164e-01 1.52148e+05 2.21090e-05 3.16149e+00 4.77466e+05 1.84934e-05 -9.75053e-01 -2.74490e-01 -4.91224e-02 4.28321e-01 8.70345e-01 1.97144e-01 2.88039e+05 
   700 2.91323e+01 1.61996e+00 7.71164e-01 1.52148e+05 2.21090e-05 3.00993e+00 4.77466e+05 1.84934e-05 -1.04794e+00 -2.57852e-01 -3.38535e-02 4.43049e-01 8.96599e-01 1.90348e-01 5.82598e+05 
   800 4.70338e+01 2.30943e+00 7.71164e-01 1.52148e+05 2.21090e-05 3.16506e+00 4.77466e+05 1.84934e-05 -9.67794e-01 -2.67107e-01 -3.61637e-02 4.03630e-01 8.67436e-01 1.95805e-01 2.82277e+05 
   900 4.60021e+01 2.10288e+00 7.71164e-01 1.52148e+05 2.21090e-05 3.14929e+00 4.77466e+05 1.84934e-05 -1.01410e+00 -2.47645e-01 -4.47208e-02 4.30101e-01 8.76361e-01 1.94882e-01 3.04833e+05 
  1000 3.20959e+01 1.58408e+00 7.71164e-01 1.52148e+05 2.21090e-05 3.14929e+00 4.77466e+05 1.84934e-05 -9.79830e-01 -2.65698e-01 -3.65390e-02 4.15039e-01 8.67029e-01 1.98483e-01 3.03968e+05 
  1100 4.52983e+01 2.01066e+00 7.71164e-01 1.52148e+05 2.21090e-05 3.14929e+00 4.77466e+05 1.84934e-05 -9.58422e-01 -2.72006e-01 -5.06055e-02 4.15598e-01 8.65436e-01 1.98719e-01 3.05145e+05 
  1200 4.15735e+01 2.28788e+00 7.71164e-01 1.52148e+05 2.21090e-05 3.07256e+00 4.77466e+05 1.84934e-05 -1.01474e+00 -2.62662e-01 -2.65749e-02 4.21906e-01 8.82068e-01 1.93062e-01 4.39880e+05 
  1300 2.90675e+01 1.85654e+00 7.71164e-01 1.52148e+05 2.40403e-05 3.05003e+00 4.77466e+05 1.57745e-05 -1.01799e+00 -3.26893e-01 -3.50642e-02 4.08464e-01 9.71487e-01 2.15094e-01 4.22556e+05 
  1400 2.72292e+01 1.70533e+00 7.71164e-01 1.52148e+05 2.40403e-05 3.05003e+00 4.77466e+05 1.57745e-05 -9.96569e-01 -3.25223e-01 -4.50026e-02 4.11970e-01 9.54824e-01 2.11308e-01 4.33654e+05 
  1500 2.52027e+01 1.59302e+00 9.10781e-01 1.52148e+05 2.24586e-05 3.05003e+00 4.77466e+05 1.57745e-05 -9.82823e-01 -3.28412e-01 -5.29974e-02 3.90956e-01 9.73276e-01 3.02052e-01 4.27311e+05 
  1600 3.49375e+01 2.08609e+00 9.10781e-01 1.52148e+05 2.24586e-05 3.03324e+00 4.77466e+05 1.57745e-05 -9.92562e-01 -3.41503e-01 -5.00604e-02 4.13696e-01 9.70430e-01 2.92320e-01 4.64874e+05 
  1700 3.04438e+01 1.64792e+00 9.10781e-01 1.52148e+05 2.24586e-05 3.03324e+00 4.77466e+05 1.57745e-05 -1.00532e+00 -3.32959e-01 -4.75665e-02 4.01370e-01 9.84480e-01 2.94754e-01 4.60147e+05 
  1800 3.66817e+01 2.22854e+00 9.10781e-01 1.52148e+05 2.24586e-05 3.03324e+00 4.77466e+05 1.57745e-05 -9.99312e-01 -3.44850e-01 -3.09246e-02 4.09457e-01 9.65629e-01 2.89054e-01 4.65787e+05 
  1900 3.29268e+01 1.71707e+00 9.10781e-01 1.79337e+05 2.24586e-05 3.03324e+00 4.51749e+05 1.57745e-05 -1.00043e+00 -3.67532e-01 -4.13702e-02 4.33780e-01 9.75557e-01 2.54421e+00 6.49109e+04 
  2000 4.08684e+01 1.58028e+00 1.40455e+00 1.79337e+05 1.33745e-05 3.03324e+00 4.51749e+05 1.57745e-05 -8.38996e-01 -4.21375e-01 -7.38590e-02 3.07384e-01 1.02684e+00 7.42631e+00 6.39922e+04 
  2100 4.51998e+01 1.99779e+00 1.40455e+00 1.79337e+05 1.33745e-05 3.03324e+00 4.51749e+05 1.57745e-05 -8.69517e-01 -3.97957e-01 -8.91494e-02 3.25976e-01 1.03065e+00 7.46199e+00 6.40936e+04 
  2200 1.65612e+01 6.95500e-01 1.40455e+00 2.26893e+05 1.33745e-05 3.05927e+00 4.88960e+05 1.57745e-05 -1.01034e+00 -3.93838e-01 -6.80164e-03 4.34712e-01 9.76270e-01 3.23075e+02 9.90469e+05 
  2300 3.02051e+01 1.16007e+00 1.40455e+00 2.26893e+05 1.33745e-05 3.05927e+00 4.88960e+05 1.57745e-05 -1.01880e+00 -3.80199e-01 -1.35807e-02 4.14527e-01 9.98054e-01 3.26802e+02 9.74944e+05 
  2400 1.72721e+01 9.55141e-01 1.24328e+00 2.26893e+05 1.74189e-05 3.05927e+00 4.88960e+05 1.57745e-05 -1.04367e+00 -3.87084e-01 7.12420e-03 4.70821e-01 9.52812e-01 2.42706e+02 9.99071e+05 
  2500 2.79855e+01 1.19160e+00 1.24328e+00 2.26893e+05 1.74189e-05 3.05927e+00 4.88960e+05 1.57745e-05 -1.05260e+00 -3.91446e-01 3.27061e-03 4.97211e-01 9.43564e-01 2.35246e+02 1.01770e+06 
  2600 2.27610e+01 1.07744e+00 1.24328e+00 2.26893e+05 1.74189e-05 3.05995e+00 4.88960e+05 1.57745e-05 -1.04631e+00 -3.87319e-01 1.60181e-02 4.59887e-01 9.57724e-01 2.37651e+02 9.96508e+05 
  2700 1.52463e+01 6.74814e-01 1.24328e+00 2.26893e+05 1.74189e-05 3.06659e+00 4.88960e+05 1.57745e-05 -1.06153e+00 -3.80691e-01 -5.83487e-03 4.81986e-01 9.66070e-01 2.38048e+02 9.68511e+05 
  2800 1.64287e+01 8.56255e-01 1.24328e+00 2.26893e+05 1.74189e-05 3.06659e+00 4.88960e+05 1.57745e-05 -1.05149e+00 -3.70994e-01 -4.03797e-03 4.62263e-01 9.64262e-01 2.40587e+02 9.60512e+05 
  2900 2.49489e+01 1.12951e+00 1.24328e+00 2.26893e+05 1.74189e-05 3.06659e+00 4.88960e+05 1.57745e-05 -1.04453e+00 -3.90845e-01 3.81920e-03 4.88634e-01 9.42925e-01 2.37770e+02 9.68125e+05 
