   100 7.38151e-01 2.40074e-01 6.33425e-01 3.77816e+00 1.63219e-12 
   200 6.55958e-01 4.12516e-01 2.90712e-01 3.28754e+00 8.06701e-12 
   300 3.90395e-01 3.17352e-01 5.35739e-02 2.91207e+00 2.93461e-11 
   400 4.76048e-01 3.65431e-01 1.13430e-01 3.02836e+00 1.87973e-11 
   500 1.09382e+00 5.42599e-01 4.20418e-01 3.41618e+00 6.05573e-12 
   600 5.92053e-01 4.81657e-01 8.09085e-02 2.87559e+00 3.91473e-11 
   700 6.26246e-01 4.76764e-01 -1.79114e-01 2.58435e+00 8.37421e-11 
   800 6.12267e-01 4.39461e-01 1.87791e-01 3.12806e+00 1.37927e-11 
   900 5.36244e-01 4.17281e-01 1.30567e-01 2.89012e+00 4.27891e-11 
  1000 3.85411e-01 3.15084e-01 -3.27140e-02 2.85818e+00 2.96599e-11 
  1100 5.70432e-01 4.79354e-01 -2.40761e-02 2.70664e+00 7.07482e-11 
  1200 4.23985e-01 3.38955e-01 2.09580e-02 2.92776e+00 2.40837e-11 
  1300 9.54726e-01 7.62654e-01 9.49848e-02 2.86850e+00 4.26736e-11 
  1400 1.03010e+00 8.01496e-01 -1.54612e-01 2.64587e+00 6.49430e-11 
  1500 8.18875e-01 4.84865e-01 3.36873e-01 3.28630e+00 9.41507e-12 
  1600 7.27422e-01 6.00046e-01 -4.64245e-02 2.92523e+00 1.94318e-11 
  1700 5.51159e-01 4.25874e-01 -1.55340e-01 2.61753e+00 7.59454e-11 
  1800 3.82949e-01 3.11275e-01 -9.85870e-02 2.77396e+00 3.80367e-11 
  1900 1.05443e+00 8.72090e-01 -6.46734e-02 2.70843e+00 6.12276e-11 
  2000 5.03007e-01 3.91626e-01 1.26056e-01 2.96686e+00 2.75180e-11 
  2100 7.73772e-01 5.91801e-01 1.06267e-01 3.11959e+00 1.10088e-11 
  2200 9.99883e-01 8.08894e-01 1.00668e-01 2.84980e+00 4.85986e-11 
  2300 4.41697e-01 3.00526e-01 2.23501e-01 3.16579e+00 1.25615e-11 
  2400 8.95862e-01 7.22854e-01 5.77927e-02 2.92443e+00 2.76891e-11 
  2500 9.19094e-01 5.58379e-01 2.86992e-01 3.23986e+00 1.03474e-11 
  2600 6.72320e-01 5.44858e-01 -1.24165e-01 2.66246e+00 6.45209e-11 
  2700 6.40807e-01 5.36554e-01 -3.32546e-02 2.84960e+00 3.12315e-11 
  2800 2.36446e-01 1.85817e-01 -1.53240e-01 2.78202e+00 3.01448e-11 
  2900 4.79669e-01 3.95525e-01 1.68052e-02 2.92752e+00 2.36739e-11 
  3000 6.39624e-01 5.13707e-01 -1.14913e-01 2.69491e+00 5.57880e-11 
  3100 4.71406e-01 3.84835e-01 -5.00566e-02 2.83605e+00 3.15499e-11 
  3200 4.32021e-01 3.12943e-01 1.90143e-01 3.03917e+00 2.30053e-11 
  3300 6.35319e-01 4.26083e-01 2.41637e-01 3.07547e+00 2.21715e-11 
  3400 6.80031e-01 5.11644e-01 1.28752e-01 3.01526e+00 2.12655e-11 
  3500 4.03547e-01 3.26161e-01 3.83707e-02 2.98360e+00 1.88323e-11 
  3600 5.17088e-01 4.34936e-01 -4.49556e-02 2.76720e+00 4.71229e-11 
  3700 3.66153e-01 2.92587e-01 1.03317e-01 2.98084e+00 2.36512e-11 
  3800 5.69764e-01 3.28548e-01 3.14769e-01 3.20836e+00 1.33656e-11 
  3900 6.49246e-01 3.45612e-01 3.74400e-01 3.35706e+00 7.23845e-12 
  4000 3.15724e-01 2.37339e-01 1.50947e-01 2.94964e+00 3.26273e-11 
  4100 6.56681e-01 4.99630e-01 -1.61642e-01 2.75672e+00 3.39856e-11 
  4200 1.26673e+00 7.01329e-01 -3.98690e-01 2.31373e+00 1.83257e-10 
  4300 4.91248e-01 4.10093e-01 -5.45436e-02 2.71746e+00 6.04501e-11 
  4400 7.05842e-01 5.87026e-01 -3.20469e-02 2.85634e+00 3.00646e-11 
  4500 6.81881e-01 5.64379e-01 6.92130e-02 2.86163e+00 4.07761e-11 
  4600 3.02988e-01 2.37478e-01 -1.45520e-01 2.66156e+00 6.08348e-11 
  4700 9.50183e-01 6.37521e-01 -2.70605e-01 2.50426e+00 9.59857e-11 
  4800 2.07699e-01 1.57955e-01 -1.94497e-01 2.44210e+00 1.74322e-10 
  4900 3.52044e-01 2.84665e-01 -1.09045e-01 2.71493e+00 5.05876e-11 
  5000 3.60308e-01 3.02533e-01 2.48273e-02 2.78891e+00 5.27269e-11 
  5100 1.14957e+00 8.14482e-01 -2.55422e-01 2.46315e+00 1.25973e-10 
  5200 6.08231e-01 4.56468e-01 1.30615e-01 3.14122e+00 1.06046e-11 
  5300 5.37965e-01 4.38250e-01 5.57718e-02 2.93506e+00 2.59248e-11 
