   100 1.28253e+00 5.16995e-01 2.95023e+00 4.61371e+05 1.48541e-05 2.08615e+05 
   200 1.01037e+00 4.05322e-01 3.00871e+00 4.57615e+05 1.48050e-05 1.13942e+05 
   300 9.31821e-01 3.73422e-01 3.00750e+00 4.64787e+05 1.49695e-05 2.03885e+05 
   400 8.91448e-01 3.60454e-01 3.01885e+00 4.60277e+05 1.49048e-05 1.34538e+05 
   500 1.34518e+00 5.38842e-01 2.99105e+00 4.58210e+05 1.47706e-05 1.30075e+05 
   600 1.49622e+00 6.03153e-01 2.96885e+00 4.57789e+05 1.48385e-05 1.42388e+05 
   700 1.06364e+00 4.33707e-01 2.91826e+00 4.60253e+05 1.49781e-05 2.29429e+05 
   800 6.98732e-01 2.82681e-01 2.97768e+00 4.60029e+05 1.49851e-05 1.64916e+05 
   900 1.07011e+00 4.35079e-01 3.00328e+00 4.60130e+05 1.48817e-05 1.43141e+05 
  1000 1.25594e+00 5.06081e-01 2.99686e+00 4.61459e+05 1.48711e-05 1.64508e+05 
  1100 1.58296e+00 6.40746e-01 3.02319e+00 4.56707e+05 1.45395e-05 9.53877e+04 
  1200 1.13214e+00 4.51919e-01 3.03244e+00 4.59847e+05 1.48888e-05 1.22264e+05 
  1300 1.22995e+00 5.02606e-01 2.90559e+00 4.63105e+05 1.48297e-05 3.02414e+05 
  1400 1.02627e+00 4.12307e-01 2.92786e+00 4.59775e+05 1.49446e-05 2.07392e+05 
  1500 1.01337e+00 4.09664e-01 2.93800e+00 4.62402e+05 1.48687e-05 2.42685e+05 
  1600 1.40154e+00 5.68046e-01 2.92871e+00 4.60128e+05 1.50447e-05 2.13893e+05 
  1700 1.60093e+00 6.47749e-01 2.94075e+00 4.66760e+05 1.51261e-05 3.44210e+05 
  1800 1.22053e+00 5.03193e-01 2.94503e+00 4.56752e+05 1.48172e-05 1.50105e+05 
  1900 1.30687e+00 5.20690e-01 2.94625e+00 4.62661e+05 1.47335e-05 2.35023e+05 
  2000 1.34998e+00 5.45826e-01 2.92277e+00 4.63133e+05 1.48616e-05 2.76078e+05 
  2100 1.25613e+00 4.95477e-01 2.96485e+00 4.61902e+05 1.47809e-05 2.00284e+05 
  2200 9.78910e-01 3.92797e-01 2.95050e+00 4.61224e+05 1.50783e-05 2.10759e+05 
  2300 1.40660e+00 5.74739e-01 2.95933e+00 4.61311e+05 1.48297e-05 1.98978e+05 
  2400 1.09683e+00 4.51677e-01 2.94632e+00 4.57885e+05 1.47529e-05 1.60259e+05 
  2500 1.37526e+00 5.52008e-01 2.97758e+00 4.61589e+05 1.49100e-05 1.85631e+05 
  2600 1.19051e+00 4.78062e-01 2.97806e+00 4.61879e+05 1.50283e-05 1.91170e+05 
  2700 1.26185e+00 5.06699e-01 2.97752e+00 4.60438e+05 1.50283e-05 1.69786e+05 
  2800 1.03378e+00 4.11617e-01 2.96908e+00 4.59592e+05 1.46808e-05 1.61755e+05 
